check,path,ok,observed,expected,tolerance,detail
display_file_integrity_labyrinth,display,True,png=True; png_error=none; mp4=required; movie_valid=True; movie_error=none; frames=True; final_time=True; fps=True; hash_and_size=True; run_manifest=True,PNG readable; MP4 may be absent only when not requested and not recorded in JSON; every present MP4 must be readable and match frames/fps/final-time/hash/size; optional manifest hashes match,exact/boolean,display file integrity
display_required_diagnostics_labyrinth,display/display_labyrinth_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True}","['no_nan', 'physical_covariance', 'npt_diagnostic', 'stable_gaussian_reduction', 'pattern_excess_positive', 'spectral_selection_passed', 'persistence_passed', 'strong_qtp', 'diagnostics_passed'] true for claim level numerical_reference_demonstration",boolean,display required JSON diagnostics for selected claim level
display_scientific_diagnostics_labyrinth,display/display_labyrinth_strong_qtp_summary.json,True,"{'no_nan': True, 'physical_covariance': True, 'npt_diagnostic': True, 'stable_gaussian_reduction': True, 'pattern_excess_positive': True, 'spectral_selection_passed': True, 'persistence_passed': True, 'strong_qtp': True, 'diagnostics_passed': True}",all finite-run scientific diagnostics pass,boolean/reporting,display scientific diagnostics; claim_status=NUMERICAL_REFERENCE_DEMONSTRATION
display_claim_level_labyrinth,display/display_labyrinth_strong_qtp_summary.json,True,"{'claim_level': 'numerical_reference_demonstration', 'theorem_level_claimed': False}",stripe exact reference may claim theorem level; spot/labyrinth references are numerical demonstrations; exploration never claims theorem level,categorical/boolean,display claim consistency
display_run_manifest_labyrinth,display/run_manifest.csv,True,optional-absent,optional; if present all listed files match size and SHA-256,sha256/size exact,output manifest integrity
display_png_labyrinth,display/display_labyrinth_strong_qtp.png,True,2873x1299,exists and is readable,nonzero/readable,display PNG
display_movie_labyrinth,display/display_labyrinth_strong_qtp.mp4,True,"{'mode': 'required', 'exists': True, 'readable': True, 'frames_match': True, 'final_match': True, 'fps_match': True, 'hash_match': True, 'size_match': True, 'error': ''}",absent allowed only in no-require mode without movie metadata; otherwise all checks true,exact/0.2 fps,display MP4 optional/required integrity
display_json_labyrinth_no_nan,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_physical_covariance,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_npt_diagnostic,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_stable_gaussian_reduction,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_pattern_excess_positive,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_spectral_selection_passed,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_persistence_passed,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_strong_qtp,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_diagnostics_passed,display/display_labyrinth_strong_qtp_summary.json,True,True,True,boolean,display diagnostic/claim flag
display_json_labyrinth_theorem_level_claimed,display/display_labyrinth_strong_qtp_summary.json,True,False,reported only,boolean,display diagnostic/claim flag (reported only for this claim level)
